date.time,open,low,high,close,yesterdays.daily.low,yesterdays.daily.high,todays.low,todays.high,bollinger.2sd.90.TopBand,bollinger.2sd.90.MovingAverage,bollinger.2sd.90.BottomBand
2007-12-18T11:0:0,162.898499,162.898499,162.955505,162.942993,162.346008,163.533508,162.403015,163.325500,0.000000,0.000000,0.000000
2007-12-18T11:1:0,162.923492,162.885498,162.923492,162.893005,162.346008,163.533508,162.403015,163.325500,0.000000,0.000000,0.000000
2007-12-18T11:2:0,162.883499,162.882996,162.898499,162.892502,162.346008,163.533508,162.403015,163.325500,0.000000,0.000000,0.000000
2007-12-18T11:3:0,162.896500,162.896500,162.912994,162.901505,162.346008,163.533508,162.403015,163.325500,0.000000,0.000000,0.000000
2007-12-18T11:4:0,162.916992,162.916992,163.030502,162.942993,162.346008,163.533508,162.403015,163.325500,0.000000,0.000000,0.000000
2007-12-18T11:5:0,162.938004,162.919495,162.942993,162.929001,162.346008,163.533508,162.403015,163.325500,0.000000,0.000000,0.000000
2007-12-18T11:6:0,162.933014,162.932007,162.968506,162.967987,162.346008,163.533508,162.403015,163.325500,0.000000,0.000000,0.000000
2007-12-18T11:7:0,162.972000,162.951508,163.014008,162.957001,162.346008,163.533508,162.403015,163.325500,0.000000,0.000000,0.000000
2007-12-18T11:8:0,162.958008,162.942993,162.960510,162.953003,162.346008,163.533508,162.403015,163.325500,0.000000,0.000000,0.000000
2007-12-18T11:9:0,162.951508,162.951508,163.018005,163.018005,162.346008,163.533508,162.403015,163.325500,0.000000,0.000000,0.000000
2007-12-18T11:10:0,163.028000,163.010986,163.057007,163.057007,162.346008,163.533508,162.403015,163.325500,0.000000,0.000000,0.000000
2007-12-18T11:11:0,163.055511,163.053497,163.083008,163.062500,162.346008,163.533508,162.403015,163.325500,0.000000,0.000000,0.000000
2007-12-18T11:12:0,163.058502,163.051498,163.092987,163.092987,162.346008,163.533508,162.403015,163.325500,0.000000,0.000000,0.000000
2007-12-18T11:13:0,163.087997,163.037994,163.088501,163.042999,162.346008,163.533508,162.403015,163.325500,0.000000,0.000000,0.000000
2007-12-18T11:14:0,163.032990,162.991501,163.032990,163.002991,162.346008,163.533508,162.403015,163.325500,0.000000,0.000000,0.000000
2007-12-18T11:15:0,162.999496,162.962494,163.014008,162.979996,162.346008,163.533508,162.403015,163.325500,0.000000,0.000000,0.000000
2007-12-18T11:16:0,162.988007,162.975998,163.014999,163.011505,162.346008,163.533508,162.403015,163.325500,0.000000,0.000000,0.000000
2007-12-18T11:17:0,163.009491,163.007507,163.028000,163.028000,162.346008,163.533508,162.403015,163.325500,0.000000,0.000000,0.000000
2007-12-18T11:18:0,163.026489,163.023010,163.081512,163.046509,162.346008,163.533508,162.403015,163.325500,0.000000,0.000000,0.000000
2007-12-18T11:19:0,163.037003,162.999496,163.059006,163.024002,162.346008,163.533508,162.403015,163.325500,0.000000,0.000000,0.000000
2007-12-18T11:20:0,163.012497,163.006012,163.064499,163.053009,162.346008,163.533508,162.403015,163.325500,0.000000,0.000000,0.000000
