"date.time","open","low","high","close","yesterdays.daily.low","yesterdays.daily.high","todays.low","todays.high","last.4.days.down","last.4.days.up"
2008-1-18T0:25:0,155.959991,155.959991,156.000000,155.980011,156.000000,157.850006,155.959991,156.089996,0.000000,0.000000
2008-1-18T0:26:0,155.989990,155.959991,155.989990,155.980011,156.000000,157.850006,155.959991,156.089996,0.000000,0.000000
2008-1-18T0:27:0,155.970001,155.970001,155.980011,155.970001,156.000000,157.850006,155.959991,156.089996,0.000000,0.000000
2008-1-18T0:28:0,155.980011,155.959991,155.980011,155.970001,156.000000,157.850006,155.959991,156.089996,0.000000,0.000000
2008-1-18T0:29:0,155.959991,155.959991,156.000000,155.980011,156.000000,157.850006,155.959991,156.089996,0.000000,0.000000
2008-1-18T0:30:0,155.970001,155.970001,155.980011,155.970001,156.000000,157.850006,155.959991,156.089996,0.000000,0.000000
2008-1-18T0:31:0,155.959991,155.959991,155.989990,155.989990,156.000000,157.850006,155.959991,156.089996,0.000000,0.000000
2008-1-18T0:32:0,155.959991,155.929993,156.000000,155.989990,156.000000,157.850006,155.929993,156.089996,0.000000,0.000000
2008-1-18T0:33:0,156.000000,155.970001,156.000000,155.970001,156.000000,157.850006,155.929993,156.089996,0.000000,0.000000

